Date,Downsize,T2123_Wkly,Breadth_Strength,V_And_M,Use_TLT,Sergy_Ratio,Primary_Asset
2014-10-24,2.0,False,1.0,,False,,DIA
2014-10-27,3.0,False,1.0,,False,,DIA
2014-10-28,1.0,False,1.0,,False,,DIA
2014-10-29,1.0,False,1.0,,False,,DIA
2014-10-30,1.0,False,1.0,,False,,DIA
2014-10-31,0.0,True,1.0,,False,,DIA
2014-11-03,1.0,True,1.0,,False,,DIA
2014-11-04,0.0,True,1.0,,False,,DIA
2014-11-05,0.0,True,1.0,,False,,DIA
2014-11-06,0.0,True,1.0,,False,,DIA
2014-11-07,0.0,True,1.0,,False,,DIA
2014-11-10,0.0,True,1.0,,False,,DIA
2014-11-11,0.0,True,1.0,,False,,DIA
2014-11-12,0.0,True,1.0,,False,,DIA
2014-11-13,0.0,True,1.0,,False,,DIA
2014-11-14,0.0,True,1.0,,False,,DIA
2014-11-17,0.0,True,1.0,,False,,DIA
2014-11-18,0.0,True,1.0,,False,,DIA
2014-11-19,0.0,True,1.0,,False,,DIA
2014-11-20,0.0,True,1.0,,False,,DIA
2014-11-21,0.0,True,1.0,,False,,DIA
2014-11-24,0.0,True,1.0,,False,,DIA
2014-11-25,0.0,True,1.0,,False,,DIA
2014-11-26,0.0,True,1.0,,False,,DIA
2014-11-28,0.0,True,1.0,,False,,DIA
2014-12-01,0.0,True,1.0,,False,,DIA
2014-12-02,0.0,True,1.0,,False,,DIA
2014-12-03,0.0,True,1.0,,False,,DIA
2014-12-04,0.0,True,1.0,,False,,DIA
2014-12-05,0.0,True,1.0,,False,,DIA
2014-12-08,0.0,True,1.0,,False,,DIA
2014-12-09,1.0,True,1.0,,False,,DIA
2014-12-10,1.0,True,1.0,,False,,DIA
2014-12-11,1.0,True,1.0,,False,,DIA
2014-12-12,3.0,False,1.0,,False,,DIA
2014-12-15,3.0,False,1.0,,False,,DIA
2014-12-16,3.0,False,1.0,,False,,DIA
2014-12-17,2.0,False,1.0,,False,,DIA
2014-12-18,2.0,False,1.0,,False,,DIA
2014-12-19,2.0,False,1.0,,False,,DIA
2014-12-22,1.0,False,1.0,,False,,DIA
2014-12-23,2.0,False,1.0,,False,,DIA
2014-12-24,1.0,False,1.0,,False,,DIA
2014-12-26,1.0,False,1.0,,False,,DIA
2014-12-29,1.0,False,1.0,,False,,DIA
2014-12-30,2.0,False,1.0,,False,,DIA
2014-12-31,2.0,False,1.0,,False,,DIA
2015-01-02,1.0,True,1.0,,False,,DIA
2015-01-05,1.0,True,1.0,,False,,DIA
2015-01-06,2.0,True,1.0,,False,,DIA
2015-01-07,2.0,True,1.0,,False,,DIA
2015-01-08,1.0,True,1.0,,False,,DIA
2015-01-09,2.0,True,1.0,,False,,DIA
2015-01-12,2.0,True,1.0,,False,,DIA
2015-01-13,2.0,True,1.0,,False,,DIA
2015-01-14,2.0,True,1.0,,False,,DIA
2015-01-15,2.0,True,1.0,,False,,DIA
2015-01-16,2.0,True,1.0,,False,,DIA
2015-01-20,2.0,True,1.0,,False,,DIA
2015-01-21,1.0,True,1.0,,False,,DIA
2015-01-22,1.0,True,1.0,,False,,DIA
2015-01-23,1.0,True,1.0,,False,,DIA
2015-01-26,1.0,True,1.0,,False,,DIA
2015-01-27,1.0,True,1.0,,False,,DIA
2015-01-28,2.0,True,1.0,,False,,DIA
2015-01-29,2.0,True,1.0,,False,,DIA
2015-01-30,2.0,True,1.0,,False,,DIA
2015-02-02,2.0,True,1.0,,False,,DIA
2015-02-03,1.0,True,1.0,,False,,DIA
2015-02-04,1.0,True,1.0,,False,,DIA
2015-02-05,1.0,True,1.0,,False,,DIA
2015-02-06,1.0,True,1.0,,False,,DIA
2015-02-09,1.0,True,1.0,,False,,DIA
2015-02-10,1.0,True,1.0,,False,,DIA
2015-02-11,1.0,True,1.0,,False,,DIA
2015-02-12,0.0,True,1.0,,False,,DIA
2015-02-13,0.0,True,1.0,,False,,DIA
2015-02-17,0.0,True,1.0,,False,,DIA
2015-02-18,1.0,True,1.0,,False,,DIA
2015-02-19,0.0,True,1.0,,False,,DIA
2015-02-20,0.0,True,1.0,,False,,DIA
2015-02-23,0.0,True,1.0,,False,,DIA
2015-02-24,0.0,True,1.0,,False,,DIA
2015-02-25,0.0,True,1.0,,False,,DIA
2015-02-26,0.0,True,1.0,,False,,DIA
2015-02-27,0.0,True,1.0,,False,,DIA
2015-03-02,0.0,True,1.0,,False,,DIA
2015-03-03,0.0,True,1.0,,False,,DIA
2015-03-04,0.0,True,1.0,,False,,DIA
2015-03-05,0.0,True,1.0,,False,,DIA
2015-03-06,0.0,True,1.0,,False,,DIA
2015-03-09,0.0,True,1.0,,False,,DIA
2015-03-10,0.0,True,1.0,,False,,DIA
2015-03-11,0.0,True,1.0,,False,,DIA
2015-03-12,0.0,True,1.0,,False,,DIA
2015-03-13,1.0,False,1.0,,False,,DIA
2015-03-16,1.0,False,1.0,,False,,DIA
2015-03-17,1.0,False,1.0,,False,,DIA
2015-03-18,1.0,False,1.0,,False,,DIA
2015-03-19,1.0,False,1.0,,False,,DIA
2015-03-20,0.0,True,1.0,,False,,DIA
2015-03-23,0.0,True,1.0,,False,,DIA
2015-03-24,0.0,True,1.0,,False,,DIA
2015-03-25,0.0,True,1.0,,False,,DIA
2015-03-26,0.0,True,1.0,,False,,DIA
2015-03-27,0.0,True,1.0,,False,,DIA
2015-03-30,0.0,True,1.0,,False,,DIA
2015-03-31,0.0,True,1.0,,False,,DIA
2015-04-01,0.0,True,1.0,,False,,DIA
2015-04-02,0.0,True,1.0,,False,,DIA
2015-04-06,0.0,True,1.0,,False,,DIA
2015-04-07,0.0,True,1.0,,False,,DIA
2015-04-08,0.0,True,1.0,,False,,DIA
2015-04-09,0.0,True,1.0,,False,,DIA
2015-04-10,0.0,True,1.0,,False,,DIA
2015-04-13,0.0,True,1.0,,False,,DIA
